AsrClassCode,AsrLandUse1,AsrLanduse2,ColCityBlock,ColParcelId,ColParcel,HANDLE,HighAddrNum,HighAddrSuf,LowAddrNum,LowAddrSuf,NBRHD,ParcelId,SITEADDR,StdUnitNum,StName,StPreDir,StSufDir,StType,ZIP
100,1010,0,124900,12490001050,1050,11249000105,2620,,2620,,59,12499105000,"2620 NATURAL BRIDGE AV",,NATURAL BRIDGE,,,AV,63107
100,1010,0,125500,12550002400,2400,11255000240,1435,,1435,,32,12559240000,"1435 DOLMAN ST",,DOLMAN,,,ST,63104
35,1010,0,143600,14360003500,3500,11436000350,3307,,3303,,25,14369350000,"3303 SIDNEY ST",,SIDNEY,,,ST,63104
14,1010,0,131300,13130000900,900,11313000090,1807,,1802,,31,13139090000,"1802 OREGON AV",,OREGON,,,AV,63104
19,5000,0,127200,12720001950,1950,11272000195,3147,,3139,,31,12729195000,"3139 LASALLE ST",,LASALLE,,,ST,63104
100,1110,0,130300,13030000800,800,11303000080,3130,,3130,,26,13039080000,"3130 GEYER AV",,GEYER,,,AV,63104
100,1120,0,130300,13030001200,1200,11303000120,3118,,3118,,26,13039120000,"3118 GEYER AV",,GEYER,,,AV,63104
100,1010,0,131800,13180003900,3900,11318000390,2755,,2753,,24,13189390000,"2753 ALLEN AV",,ALLEN,,,AV,63104
100,1010,0,98005,09800501800,1800,10980050180,2719,,2719,,59,09809090000,"2719 COLE ST",,COLE,,,ST,63106
100,1010,0,98005,09800502000,2000,10980050200,2723,,2723,,59,09809100000,"2723 COLE ST",,COLE,,,ST,63106
100,1120,0,144200,14420003400,3400,11442000340,3507,,3507,,25,14429340000,"3507 MAGNOLIA AV",,MAGNOLIA,,,AV,63118
100,1110,0,144300,14430000200,200,11443000020,3538,,3538,,25,14439020000,"3538 SHENANDOAH AV",,SHENANDOAH,,,AV,63104
200,5000,0,104300,10430000200,200,11043000020,3336,,3336,,77,10439020000,"3336 WASHINGTON BLVD",,WASHINGTON,,,BLVD,63103
39,5000,0,104300,10430000500,500,11043000050,3326,,3326,,77,10439050000,"3326 WASHINGTON BLVD",,WASHINGTON,,,BLVD,63103
100,1010,0,100000,10000002400,2400,11000000240,2825,,2825,,59,10009240000,"2825 GAMBLE ST",,GAMBLE,,,ST,63106
100,1140,0,100000,10000002500,2500,11000000250,2829,,2827,,59,10009250000,"2827 GAMBLE ST",,GAMBLE,,,ST,63106
100,1185,0,100000,10000002600,2600,11000000260,2841,,2831,,59,10009260000,"2831 GAMBLE ST",,GAMBLE,,,ST,63106
100,1010,0,100800,10080002600,2600,11008000260,2947,,2947,,59,10089260000,"2947 DR MARTIN LUTHER KING DR",,DR MARTIN LUTHER KING,,,DR,63106
49,5000,0,100800,10080002800,2800,11008000280,2957,,2953,,59,10089280000,"2953 DR MARTIN LUTHER KING DR",,DR MARTIN LUTHER KING,,,DR,63106
100,1010,0,102800,10280000900,900,11028000090,3012,,3012,,59,10289090000,"3012 JAMES COOL PAPA BELL AV",,JAMES COOL PAPA BELL,,,AV,63106
100,1010,0,102800,10280001200,1200,11028000120,1259,,1257,,59,10289120000,"1257 N GARRISON AV",,GARRISON,N,,AV,63106
100,1010,0,102800,10280001300,1300,11028000130,1257,,1251,,59,10289130000,"1251 N GARRISON AV",,GARRISON,N,,AV,63106
100,1010,0,107000,10700001500,1500,11070000150,2518,,2516,,60,10709150000,"2516 W DODIER ST",,DODIER,W,,ST,63107
